,Players,Tone,Tone Strength,Image Quality,Source
0,Abdoulaye Doucouré,Positive,95,90,https://www.independent.co.uk/sport/football/everton-abdoulaye-doucoure-merseyside-rafael-benitez-liverpool-b1966082.html
1,Alex Iwobi,Positive,95,90,https://www.eurosport.com/football/premier-league/2023-2024/man-utd-v-fulham-premier-league-live_sto10034842/story.shtml
2,Alexis Mac Allister,Neutral,80,90,https://liverpooloffside.sbnation.com/2024/1/12/24036031/alexis-mac-allister-decembers-premier-league-goal-of-the-month
3,Alisson Ramses Becker,Negative,80,90,https://www.alamy.com/alisson-ramses-becker-liverpool-fc-during-the-uefa-champions-league-final-match-between-tottenham-0-2-liverpool-fc-at-estadio-metropolitano-in-madrid-spain-june-1-2019-photo-by-maurizio-borsariaflo-image248113685.html
4,Alphonse Areola,Neutral,80,90,https://www.whufc.com/player/150
5,Andrew Robertson,Neutral,80,95,https://www.theanfieldwrap.com/2018/01/could-the-rise-of-andrew-robertson-spell-the-end-of-liverpools-left-back-problem/
6,Andros Townsend,Positive,95,90,https://www.lutontown.co.uk/en/news/andros-townsend-signs-new-long-term-contract
7,Anthony Elanga,Positive,95,90,https://www.premierleague.com/news/4205260
8,Ashley Young,Neutral,70,85,https://www.si.com/fannation/soccer/futbol/news/ashley-young-red-card-liverpool-everton
9,Billy Gilmour,Neutral,70,90,https://www.goal.com/en-us/news/brighton's-billy-gilmour-on-contributions-in-historic-6-0-win-over-wolves-i-just-had-to-take-my-opportunity/bltd8e62d38794a1426
10,Callum Hudson-Odoi,Neutral,70,85,https://www.dazn.com/en-PT/home/ArticleId:1hcknaknk0xue16jipahe8cf0r/1hcknaknk0xue16jipahe8cf0r
11,Callum Wilson,Positive,85,90,https://www.thetimes.com/sport/football/article/newcastle-vs-brentford-callum-wilson-penalty-gives-eddie-howe-respite-v9k5sgkb7
12,Cameron Archer,Positive,95,90,https://www.yorkshirepost.co.uk/sport/football/sheffield-united/sheffield-united-2-everton-2-cameron-archer-and-gus-hamer-provide-the-blades-hope-in-a-goal-fest-as-opposed-to-slugfest-4278235
13,Christian Nørgaard,Neutral,70,90,https://www.brentfordfc.com/en/news/article/first-team-christian-norgaard-injury-update-21-09-2024
14,Craig Dawson,Neutral,80,90,https://www.wolves.co.uk/teams/mens-first-team/craig-dawson/
15,Cristian Romero,Negative,85,90,https://www.theguardian.com/football/2023/dec/27/cristian-romero-out-for-a-month-as-tottenhams-selection-issues-deepen
16,Dan Burn,Positive,95,90,https://www.independent.co.uk/bulletin/sport/dan-burn-newcastle-liverpool-league-cup-final-b2716568.html
17,Danny Welbeck,Positive,95,90,https://www.premierleague.com/news/4148119
18,Dominic Calvert-Lewin,Neutral,70,90,https://www.nytimes.com/athletic/5280400/2024/02/17/dominic-calvert-lewin-goal-drought-everton/
19,Ederson Santana de Moraes,Neutral,70,90,https://www.alamy.com/ederson-santana-de-moraes-manchester-city-during-the-uefa-champions-league-group-stage-third-match-between-atalanta-1-1-manchester-city-at-giuseppe-meazza-stadium-on-november-06-2019-in-milano-italy-credit-maurizio-borsariafloalamy-live-news-image332114690.html
20,Emerson Palmieri dos Santos,Positive,95,90,https://www.nytimes.com/athletic/4897745/2023/09/29/west-ham-emerson-palmieri-interview/
21,Ethan Pinnock,Positive,85,90,https://www.brentfordfc.com/en/teams/profile/ethan-pinnock
22,Evan Ferguson,Positive,95,90,https://www.bbc.com/sport/articles/cw81838g3z7o
23,Ezri Konsa Ngoyo,Positive,95,90,https://www.eurosport.com/football/premier-league/2020-2021/aston-villa-v-sheffield-united-follow-live_sto7898346/story.shtml
24,Fabian Schär,Positive,95,85,https://www.skysports.com/football/news/11095/12975645/newcastle-4-1-psg-fabian-schars-long-range-stunner-caps-historic-champions-league-victory-over-french-giants
25,Gabriel Fernando de Jesus,Neutral,70,90,https://www.nevermanagealone.com/2022/7/10/23201199/nma-epl-transfer-spotlight-arsenal-gabriel-jesus
26,Ivan Toney,Neutral,80,90,https://www.eurosport.com/football/premier-league/2023-2024/ivan-toney-opens-door-to-brentford-departure-by-admitting-he-wants-to-fight-for-titles-at-a-top-club_sto9970684/story.shtml
27,Jack Harrison,Neutral,70,90,https://www.liverpoolecho.co.uk/sport/football/football-news/jack-harrison-makes-injury-return-27772106
28,Jacob Murphy,Positive,95,90,https://www.newcastleunited.com/en/teams/mens-team/jacob-murphy
29,James Maddison,Positive,90,85,https://www.skysports.com/football/news/11661/12945842/bournemouth-0-2-tottenham-james-maddison-on-scoresheet-as-spurs-win-on-south-coast-to-stay-unbeaten
30,James McAtee,Neutral,80,75,https://www.alamy.com/sheffield-uniteds-james-mcatee-during-the-premier-league-match-at-bramall-lane-sheffield-picture-date-sunday-september-24-2023-image567081134.html
31,James Tarkowski,Negative,80,90,https://www.bbc.com/sport/football/articles/c4g23rlzne5o
32,Jeffrey Schlupp,Positive,95,90,https://www.independent.co.uk/sport/football/jeffrey-schlupp-crystal-palace-marco-silva-fulham-premier-league-b2535871.html
33,Joachim Andersen,Neutral,70,85,https://www.skysports.com/football/news/11661/13201092/joachim-andersen-transfer-fulham-complete-gbp30m-move-for-crystal-palace-defender
34,John McGinn,Positive,95,90,https://www.eurosport.com/football/premier-league/2023-2024/premier-league-live_sto9912677/story.shtml
35,Jordan Ayew,Neutral,70,85,https://www.skysports.com/football/news/11661/12495217/crystal-palace-2-2-southampton-jordan-ayew-scores-first-premier-league-goal-in-43-games-to-rescue-draw-for-eagles
36,Josh Brownhill,Neutral,70,0,https://www.alamy.com/burnleys-josh-brownhill-during-the-premier-league-match-at-turf-moor-burnley-picture-date-saturday-may-7-2022-image469198700.html
37,José Malheiro de Sá,Neutral,80,0,https://www.alamy.com/stock-photo/jose-sa.html
38,João Pedro Junqueira de Jesus,Neutral,80,90,https://www.alamy.com/joo-pedro-in-action-for-brighton-hove-albion-at-the-amex-stadium-image561247402.html
39,Kevin De Bruyne,Positive,85,70,https://www.skysports.com/football/news/11095/13341760/kevin-de-bruyne-to-leave-man-city-premier-league-s-great-creator-helped-define-pep-guardiola-s-great-team
40,Kieran Trippier,Positive,85,90,https://www.eurosport.com/football/champions-league/2023-2024/kieran-trippier-hails-newcastle-teammates-after-securing-massive-draw-against-ac-milan-on-champions-_sto9803857/story.shtml
41,Kristoffer Ajer,Neutral,80,90,https://www.independent.co.uk/sport/football/liverpool-premier-league-brentford-wolves-arsenal-b1926739.html
42,Kurt Zouma,Positive,95,80,https://www.whufc.com/news/my-best-kurt-zouma-reveals-his-finest-game-west-ham-united
43,Kyle Walker,Positive,95,90,https://www.independent.co.uk/sport/football/kyle-walker-man-city-champions-league-b2355302.html
44,Lewis Dunk,Neutral,70,90,https://www.independent.co.uk/sport/football/lewis-dunk-europa-league-marseille-greek-league-one-b2456476.html
45,Lucas Digne,Neutral,70,90,https://www.nytimes.com/athletic/3086093/2022/01/22/lucas-digne-aston-villa-everton-attacking-weapon/
46,Mads Roerslev Rasmussen,Neutral,70,80,https://www.alamy.com/brentfords-mads-roerslev-rasmussen-during-the-pre-season-friendly-match-at-the-brentford-community-stadium-london-picture-date-saturday-july-31-2021-image436846832.html
47,Marc Guéhi,Neutral,80,90,https://www.getfootballnewsfrance.com/2024/marc-guehi-wants-to-leave-crystal-palace-amid-manchester-united-interest/
48,Marcus Rashford,Negative,85,75,https://www.skysports.com/football/news/11667/13276702/marcus-rashford-man-utd-forwards-current-situation-discussed-by-gary-neville-jamie-carragher-and-jamie-redknapp
49,Martin Dubravka,Positive,95,90,https://www.newcastleunited.com/en/news/martin-dubravka-programme-interview-23-24
50,Mathias Jensen,Neutral,70,85,https://www.brentfordfc.com/en/news/article/first-team-mathias-jensen-injury-update-fpl-december-2023
51,Max Kilman,Positive,90,85,https://www.theguardian.com/football/2019/aug/06/max-kilman-wolves-premier-league-futsal-england
52,Michail Antonio,Negative,80,90,https://www.eurosport.com/football/europa-league/2023-2024/michail-antonio-unhappy-after-west-ham-exit-feels-like-youre-playing-against-13.-14-including-the-tw_sto10107841/story.shtml
53,Nathan Aké,Neutral,50,90,https://www.independent.co.uk/sport/football/nathan-ake-manchester-city-txiki-begiristain-pep-guardiola-premier-league-b2384148.html
54,Nathan Collins,Positive,95,90,https://www.nytimes.com/athletic/5031602/2023/11/06/brentfords-nathan-collins-is-just-getting-started-theres-so-much-potential-in-him/
55,Neal Maupay,Neutral,80,90,https://www.skysports.com/football/news/11748/11762260/neal-maupay-out-of-brentfords-friendly-against-dynamo-kiev-due-to-uncertainty-over-future
56,Nick Pope,Positive,95,90,https://www.newcastleunited.com/en/news/newcastle-united-0-crystal-palace-0-3-2-on-pens
57,Nélson Cabral Semedo,Neutral,80,85,https://www.alamy.com/wolverhampton-wanderers-cabral-nelson-semedo-during-the-premier-league-match-at-molineux-wolverhampton-image379240861.html
58,Odsonne Edouard,Positive,95,90,https://www.theguardian.com/football/2021/sep/17/crystal-palace-fast-starter-odsonne-edouard-mbappe-celtic
59,Oleksandr Zinchenko,Positive,95,85,https://www.independent.co.uk/sport/football/arsenal-oleksandr-zinchenko-martin-odegaard-frank-lampard-premier-league-b2331597.html
60,Pedro Lomba Neto,Positive,95,85,https://www.alamy.com/wolverhampton-wanderers-lomba-pedro-neto-celebrates-scoring-his-sides-first-goal-of-the-game-during-the-uefa-europa-league-third-qualifying-round-second-leg-match-at-molineux-stadium-wolverhampton-image264242593.html
61,Raheem Sterling,Neutral,70,90,https://www.independent.co.uk/sport/football/raheem-sterling-chelsea-squad-team-news-b2598054.html
62,Raúl Jiménez,Positive,95,85,https://www.goal.com/en-us/lists/mexico-fulham-raul-jimenez-premier-league-el-tri/blt56bd112c03acbfe3
63,Richarlison de Andrade,Neutral,80,85,https://www.alamy.com/richarlison-de-andrade-of-tottenham-hotspur-fc-looks-on-during-the-uefa-champions-league-round-of-16-first-leg-match-between-ac-milan-and-tottenham-hotspur-at-giuseppe-meazza-stadium-on-february-14-2023-in-milan-italy-image524282053.html
64,Robert Sánchez,Positive,90,85,https://www.chelseafc.com/en/news/article/sanchez-amazing-to-be-out-there
65,Ross Barkley,Neutral,70,85,https://www.teamtalk.com/luton-town/unbelievable-ross-barkley-compared-iconic-world-cup-winner-stunning-praise-luton-hero-thriving
66,Scott McTominay,Neutral,80,90,https://thebusbybabe.sbnation.com/2024/8/6/24213663/why-manchester-united-cant-sell-scott-mctominay
67,Sean Longstaff,Positive,90,80,https://www.newcastleunited.com/en/teams/mens-team/sean-longstaff
68,Sergio Reguilón,Positive,95,90,https://www.nytimes.com/athletic/5419746/2024/04/18/sergio-reguilon-brentford-tottenham/
69,Takehiro Tomiyasu,Neutral,80,90,https://www.bbc.com/sport/football/articles/cgq92p8g9n1o
70,Thiago Emiliano da Silva,Neutral,80,90,https://www.alamy.com/thiago-emiliano-da-silva-of-chelsea-during-the-uefa-champions-league-round-of-16-2nd-leg-football-match-between-losc-lille-and-chelsea-on-march-16-2022-at-pierre-mauroy-stadium-in-villeneuve-dascq-france-photo-matthieu-mirville-dppi-image469741983.html
71,Timothy Castagne,Positive,85,90,https://www.fulhamfc.com/players/timothy-castagne/
72,Toti António Gomes,Neutral,70,85,https://www.molineux.news/profiles/who-is-toti-gomes-meet-wolves-left-sided-lieutenant/
73,Trent Alexander-Arnold,Positive,95,90,https://edition.cnn.com/2024/02/10/sport/liverpool-trent-alexander-arnold-jurgen-klopp-spt-intl/index.html
74,Tyrick Mitchell,Neutral,80,90,https://www.independent.co.uk/sport/football/patrick-vieira-wembley-crystal-palace-england-ruben-loftuscheek-b2060000.html
75,Victor Lindelöf,Neutral,80,90,https://www.independent.co.uk/sport/football/erik-ten-hag-manchester-united-victor-lindelof-belgium-sweden-b2433182.html
76,Virgil van Dijk,Positive,95,90,https://www.liverpoolfc.com/news/virgil-van-dijk-scores-extra-time-give-liverpool-victory-over-chelsea-carabao-cup-final
77,Vitalii Mykolenko,Neutral,80,90,https://www.everton.news/vitaliy-mykolenko-breaks-silence-on-what-he-finds-so-hard-about-playing-for-everton/
78,Vitaly Janelt,Positive,80,0,https://www.brentfordfc.com/en/teams/profile/vitaly-janelt
79,Will Hughes,Positive,85,90,https://www.nytimes.com/athletic/6035554/2025/01/03/will-hughes-injury-crystal-palace/
80,Willy Boly,Positive,95,90,https://www.marca.com/en/football/premier-league/cronica/2023/08/26/64ea1febca4741d0138b4569.html
